timestamp,fx,fy,fz,tx,ty,tz
23.5195985,0.0045178,-0.0090067,0.0178759,0.0004704,-0.0001877,-0.0000022
23.5205985,-0.0169642,-0.0262677,-0.0701424,-0.0007119,0.0003462,-0.0000370
23.5215985,-0.0008151,0.0150464,0.0160875,-0.0000047,-0.0001559,0.0000712
23.5225985,-0.0026261,-0.0058774,0.0331847,0.0001638,0.0002420,0.0001582
23.5235985,-0.0034279,-0.0062276,0.0508143,0.0003275,0.0003507,-0.0000693
23.5245985,-0.0362813,-0.0073235,0.0336547,-0.0000308,0.0008133,-0.0000766
23.5255985,-0.0261440,0.0263736,-0.0347322,-0.0001087,0.0008950,0.0000520
23.5265985,-0.0205805,-0.0253634,0.0681080,0.0001713,0.0003168,-0.0002184
23.5275985,0.0003165,-0.0164169,-0.0201131,-0.0006110,0.0002013,0.0000585
23.5285985,-0.0026008,0.0049465,-0.0505141,0.0002300,0.0000430,0.0002058
23.5295985,-0.0197503,0.0119848,0.1017461,0.0003101,0.0007782,-0.0003653
23.5305985,-0.0099819,0.0302483,0.0514551,0.0002911,-0.0001615,-0.0001507
23.5315985,-0.0011731,-0.0062600,-0.0183496,-0.0001961,0.0002213,-0.0000963
23.5325985,0.0020351,-0.0149896,-0.0383307,-0.0009255,-0.0002022,0.0005195
23.5335985,-0.0187589,0.0058096,0.0002184,0.0000839,-0.0000956,0.0002232
23.5345985,0.0003177,-0.0265473,0.0304239,-0.0006856,0.0002123,-0.0002356
23.5355985,0.0077033,0.0010334,-0.0180263,-0.0001258,-0.0004194,0.0000596
23.5365985,-0.0133727,-0.0185663,0.0529763,0.0005607,-0.0001152,-0.0003010
23.5375985,0.0082503,0.0081131,-0.0024718,-0.0002352,0.0002285,0.0001424
23.5385985,-0.0299904,-0.0016035,0.0191111,0.0005095,0.0006762,-0.0003927
23.5395985,0.0091578,-0.0111894,0.0982696,-0.0005419,-0.0000410,-0.0004468
23.5405985,-0.0078044,0.0095843,0.0655576,-0.0003750,-0.0000929,-0.0000686
23.5415985,-0.0268823,-0.0121949,0.0664752,-0.0002293,0.0006424,-0.0002218
23.5425985,-0.0124795,0.0097011,0.1032233,0.0006362,0.0001588,-0.0002852
23.5435985,-0.0230267,-0.0052555,-0.0639533,0.0007951,0.0004241,-0.0003428
23.5445985,0.0075377,0.0285132,-0.0683640,0.0000775,0.0001357,0.0000402
23.5455985,-0.0190775,0.0026128,0.0332253,0.0000554,0.0006633,0.0000008
23.5465985,-0.0183001,-0.0162816,0.0325385,-0.0002676,0.0003766,-0.0001556
23.5475985,0.0326518,-0.0145403,0.0997284,-0.0000616,-0.0005131,-0.0006005
23.5485985,-0.0275449,0.0091361,-0.0330896,0.0000881,0.0003548,-0.0001015
23.5495985,-0.0015538,0.0056154,0.0503260,0.0000956,-0.0002346,0.0000065
23.5505985,-0.0188228,-0.0041167,0.0000413,0.0000011,-0.0000932,0.0001455
23.5515985,0.0182745,-0.0273222,0.0965746,-0.0008423,0.0001595,-0.0004473
23.5525985,-0.0205926,0.0036555,0.0013945,0.0003856,0.0004942,-0.0002438
23.5535985,-0.0096923,-0.0112541,0.0321961,-0.0002212,0.0002998,0.0000003
23.5545985,-0.0009803,0.0133886,0.0327187,-0.0000222,0.0002252,-0.0001572
23.5555985,-0.0103032,-0.0282602,0.0164645,-0.0001946,-0.0003456,-0.0001602
23.5565985,0.0333873,-0.0038556,-0.0191523,-0.0001588,-0.0006414,0.0001375
23.5575985,-0.0204657,0.0045011,0.0181806,0.0004050,0.0003045,-0.0000033
23.5585985,0.0073831,-0.0401778,0.0478444,-0.0004468,-0.0000304,0.0000073
23.5595985,-0.0016669,0.0137653,0.0673897,0.0001543,0.0001476,-0.0003787
23.5605985,-0.0117041,-0.0180700,0.0684313,0.0002415,-0.0003239,-0.0000624
23.5615985,0.0084440,0.0193411,-0.0181597,-0.0001545,-0.0001447,-0.0002548
23.5625985,-0.0325102,-0.0185290,0.0468587,-0.0009592,0.0008640,-0.0001532
23.5635985,0.0074742,0.0168770,0.0487520,0.0000132,0.0005262,0.0000047
23.5645985,-0.0362313,-0.0063925,-0.0000179,-0.0000262,0.0006184,0.0001458
23.5655985,0.0303307,-0.0041735,0.0676411,0.0005285,-0.0004035,-0.0000629
23.5665985,-0.0192458,-0.0252191,-0.0851099,-0.0001984,0.0002754,0.0001943
23.5675985,-0.0092102,-0.0313981,-0.0532878,-0.0005781,0.0003770,0.0000482
23.5685985,0.0061998,0.0296226,0.0002118,0.0004503,-0.0000299,0.0003008
23.5695985,-0.0020907,-0.0263442,-0.0013296,-0.0001915,0.0003313,-0.0002448
23.5705985,-0.0004096,-0.0067220,-0.0025619,-0.0003579,0.0003041,0.0001432
23.5715985,-0.0040136,0.0150180,0.0017081,0.0006597,0.0000682,0.0000691
23.5725985,-0.0025504,-0.0232601,-0.0172178,0.0000138,-0.0003258,0.0002191
23.5735985,-0.0267684,-0.0013377,0.0329797,-0.0001418,0.0004451,0.0000784
23.5745985,0.0065957,-0.0108156,-0.0344014,-0.0000772,0.0000676,-0.0004921
23.5755985,0.0084941,0.0202720,-0.0518323,-0.0001498,-0.0003396,-0.0000324
23.5765985,-0.0028562,-0.0347589,-0.0512225,-0.0001013,0.0000525,-0.0001052
23.5775985,-0.0094872,0.0292302,-0.0507161,0.0000870,0.0000972,0.0000466
23.5785985,-0.0104687,-0.0007804,-0.0338732,0.0000087,0.0002095,-0.0001796
