NORMAL FT DATA
FT Values,,,,,,Electrode Values
Fx,Fy,Fz,Tx,Ty,Tz,C1,C2,C3,C4
1.000,2.000,3.000,4.000,5.000,6.000,62.000,85.000,48.000,25.000
1.000,2.000,3.000,4.000,5.000,6.000,35.000,94.000,74.000,41.000
1.000,2.000,3.000,4.000,5.000,6.000,80.000,23.000,69.000,56.000
1.000,2.000,3.000,4.000,5.000,6.000,22.000,28.000,74.000,56.000
1.000,2.000,3.000,4.000,5.000,6.000,51.000,46.000,30.000,73.000
1.000,2.000,3.000,4.000,5.000,6.000,34.000,68.000,92.000,92.000
1.000,2.000,3.000,4.000,5.000,6.000,26.000,22.000,50.000,28.000
1.000,2.000,3.000,4.000,5.000,6.000,1.000,31.000,90.000,21.000
1.000,2.000,3.000,4.000,5.000,6.000,98.000,58.000,53.000,18.000
1.000,2.000,3.000,4.000,5.000,6.000,4.000,63.000,11.000,42.000
