SHEAR FT DATA
FT Values,,,,,,Electrode Values
Fx,Fy,Fz,Tx,Ty,Tz,C1,C2,C3,C4
1.000,2.000,3.000,4.000,5.000,6.000,79.000,95.000,66.000,11.000
1.000,2.000,3.000,4.000,5.000,6.000,41.000,71.000,39.000,95.000
1.000,2.000,3.000,4.000,5.000,6.000,81.000,37.000,44.000,67.000
1.000,2.000,3.000,4.000,5.000,6.000,43.000,88.000,92.000,82.000
1.000,2.000,3.000,4.000,5.000,6.000,19.000,88.000,63.000,21.000
1.000,2.000,3.000,4.000,5.000,6.000,10.000,55.000,97.000,14.000
1.000,2.000,3.000,4.000,5.000,6.000,22.000,93.000,84.000,20.000
1.000,2.000,3.000,4.000,5.000,6.000,98.000,49.000,17.000,62.000
1.000,2.000,3.000,4.000,5.000,6.000,79.000,43.000,74.000,59.000
1.000,2.000,3.000,4.000,5.000,6.000,8.000,17.000,1.000,53.000
