Value,Mode,Port,Timestamp Sent,Timestamp Received
126.0,0.0,0.0,55474.0,1761785526915.2412
29.0,0.0,1.0,55310.0,1761785526916.058
29.0,0.0,2.0,55465.0,1761785526916.5317
29.0,0.0,3.0,55903.0,1761785526916.9229
29.0,0.0,4.0,55090.0,1761785526917.322
29.0,0.0,5.0,56141.0,1761785526917.8188
29.0,0.0,6.0,55998.0,1761785526918.366
28.0,0.0,7.0,56127.0,1761785526918.913
126.0,1.0,0.0,55462.0,1761785526919.4326
29.0,1.0,1.0,55311.0,1761785526921.963
29.0,1.0,2.0,55461.0,1761785526922.4043
29.0,1.0,3.0,55900.0,1761785526922.8818
29.0,1.0,4.0,55097.0,1761785526923.3215
29.0,1.0,5.0,56154.0,1761785526923.6853
29.0,1.0,6.0,56005.0,1761785526924.0813
28.0,1.0,7.0,56148.0,1761785526924.446
126.0,0.0,0.0,55471.0,1761785526924.8608
29.0,0.0,1.0,55321.0,1761785526925.2473
29.0,0.0,2.0,55462.0,1761785526925.6982
29.0,0.0,3.0,55893.0,1761785526926.0786
29.0,0.0,4.0,55085.0,1761785526926.433
29.0,0.0,5.0,56157.0,1761785526926.8923
29.0,0.0,6.0,56012.0,1761785526927.2908
28.0,0.0,7.0,56153.0,1761785526927.7004
126.0,1.0,0.0,55477.0,1761785526928.1362
29.0,1.0,1.0,55314.0,1761785526928.6213
29.0,1.0,2.0,55468.0,1761785526929.25
29.0,1.0,3.0,55897.0,1761785526929.6736
29.0,1.0,4.0,55091.0,1761785526930.1025
29.0,1.0,5.0,56152.0,1761785526930.49
28.0,1.0,6.0,56006.0,1761785526930.9775
29.0,1.0,7.0,56150.0,1761785526931.3782
126.0,0.0,0.0,55473.0,1761785526931.7556
29.0,0.0,1.0,55324.0,1761785526932.1199
29.0,0.0,2.0,55473.0,1761785526932.5654
29.0,0.0,3.0,55898.0,1761785526932.9512
29.0,0.0,4.0,55083.0,1761785526933.311
29.0,0.0,5.0,56140.0,1761785526933.676
29.0,0.0,6.0,56001.0,1761785526934.1035
28.0,0.0,7.0,56166.0,1761785526934.495
126.0,1.0,0.0,55469.0,1761785526934.8696
29.0,1.0,1.0,55304.0,1761785526935.2283
29.0,1.0,2.0,55463.0,1761785526935.577
29.0,1.0,3.0,55896.0,1761785526935.9128
29.0,1.0,4.0,55082.0,1761785526936.4165
29.0,1.0,5.0,56158.0,1761785526936.792
28.0,1.0,6.0,56013.0,1761785526937.1597
29.0,1.0,7.0,56154.0,1761785526937.4988
126.0,0.0,0.0,55471.0,1761785526937.9368
29.0,0.0,1.0,55313.0,1761785526938.2913
29.0,0.0,2.0,55455.0,1761785526938.6309
29.0,0.0,3.0,55890.0,1761785526938.9736
29.0,0.0,4.0,55073.0,1761785526939.2932
29.0,0.0,5.0,56142.0,1761785526939.6592
29.0,0.0,6.0,56013.0,1761785526940.0278
28.0,0.0,7.0,56148.0,1761785526940.4727
126.0,1.0,0.0,55470.0,1761785526941.0295
29.0,1.0,1.0,55314.0,1761785526941.3958
29.0,1.0,2.0,55459.0,1761785526941.7593
29.0,1.0,3.0,55899.0,1761785526942.1492
29.0,1.0,4.0,55087.0,1761785526942.5078
29.0,1.0,5.0,56151.0,1761785526942.8892
28.0,1.0,6.0,55998.0,1761785526943.2285
29.0,1.0,7.0,56142.0,1761785526943.5735
126.0,0.0,0.0,55482.0,1761785526944.0854
29.0,0.0,1.0,55321.0,1761785526944.6028
29.0,0.0,2.0,55461.0,1761785526944.9993
29.0,0.0,3.0,55896.0,1761785526945.4075
29.0,0.0,4.0,55088.0,1761785526945.971
29.0,0.0,5.0,56154.0,1761785526946.3894
28.0,0.0,6.0,56009.0,1761785526946.782
29.0,0.0,7.0,56160.0,1761785526947.139
126.0,1.0,0.0,55465.0,1761785526947.5068
29.0,1.0,1.0,55309.0,1761785526947.852
29.0,1.0,2.0,55455.0,1761785526948.1846
29.0,1.0,3.0,55894.0,1761785526948.5444
29.0,1.0,4.0,55077.0,1761785526948.9712
29.0,1.0,5.0,56147.0,1761785526949.4563
28.0,1.0,6.0,56000.0,1761785526949.843
29.0,1.0,7.0,56155.0,1761785526950.306
126.0,0.0,0.0,55470.0,1761785526950.7927
29.0,0.0,1.0,55319.0,1761785526951.2014
29.0,0.0,2.0,55465.0,1761785526951.5725
29.0,0.0,3.0,55894.0,1761785526951.9607
29.0,0.0,4.0,55077.0,1761785526952.4255
29.0,0.0,5.0,56142.0,1761785526952.7944
28.0,0.0,6.0,56003.0,1761785526953.1567
29.0,0.0,7.0,56144.0,1761785526953.4883
126.0,1.0,0.0,55473.0,1761785526953.8176
29.0,1.0,1.0,55321.0,1761785526954.167
29.0,1.0,2.0,55479.0,1761785526954.5134
29.0,1.0,3.0,55900.0,1761785526954.9016
29.0,1.0,4.0,55081.0,1761785526955.253
29.0,1.0,5.0,56152.0,1761785526955.653
28.0,1.0,6.0,56001.0,1761785526956.0396
29.0,1.0,7.0,56143.0,1761785526956.4058
-9875.0,0.0,0.0,55474.0,1761785526956.8076
29.0,0.0,1.0,55315.0,1761785526957.1726
29.0,0.0,2.0,55460.0,1761785526957.6028
29.0,0.0,3.0,55899.0,1761785526958.0857
29.0,0.0,4.0,55086.0,1761785526958.4968
29.0,0.0,5.0,56150.0,1761785526958.8572
28.0,0.0,6.0,56011.0,1761785526959.2007
29.0,0.0,7.0,56165.0,1761785526959.538
128.0,1.0,0.0,55470.0,1761785526959.8782
29.0,1.0,1.0,55314.0,1761785526960.2344
29.0,1.0,2.0,55462.0,1761785526960.5974
29.0,1.0,3.0,55899.0,1761785526960.9316
29.0,1.0,4.0,55083.0,1761785526961.254
28.0,1.0,5.0,56144.0,1761785526961.5767
29.0,1.0,6.0,56009.0,1761785526961.9014
29.0,1.0,7.0,56155.0,1761785526962.2336
126.0,0.0,0.0,55483.0,1761785526962.5532
29.0,0.0,1.0,55322.0,1761785526963.0586
29.0,0.0,2.0,55464.0,1761785526963.488
29.0,0.0,3.0,55895.0,1761785526963.858
29.0,0.0,4.0,55081.0,1761785526964.361
28.0,0.0,5.0,56151.0,1761785526964.7803
29.0,0.0,6.0,56008.0,1761785526965.2136
29.0,0.0,7.0,56142.0,1761785526965.625
126.0,1.0,0.0,55478.0,1761785526966.004
29.0,1.0,1.0,55313.0,1761785526966.4478
29.0,1.0,2.0,55464.0,1761785526966.8125
29.0,1.0,3.0,55894.0,1761785526967.2156
28.0,1.0,4.0,55082.0,1761785526967.6287
29.0,1.0,5.0,56147.0,1761785526967.9849
29.0,1.0,6.0,55999.0,1761785526968.3472
29.0,1.0,7.0,56138.0,1761785526968.6924
126.0,0.0,0.0,55467.0,1761785526969.109
29.0,0.0,1.0,55308.0,1761785526969.4417
29.0,0.0,2.0,55460.0,1761785526969.786
29.0,0.0,3.0,55898.0,1761785526970.1284
29.0,0.0,4.0,55089.0,1761785526970.468
28.0,0.0,5.0,56154.0,1761785526970.8494
29.0,0.0,6.0,56002.0,1761785526971.2278
29.0,0.0,7.0,56147.0,1761785526971.597
126.0,1.0,0.0,55468.0,1761785526972.0217
29.0,1.0,1.0,55319.0,1761785526972.3865
29.0,1.0,2.0,55461.0,1761785526972.7615
29.0,1.0,3.0,55907.0,1761785526973.1218
28.0,1.0,4.0,55084.0,1761785526973.4802
29.0,1.0,5.0,56145.0,1761785526973.8381
29.0,1.0,6.0,55997.0,1761785526974.1917
29.0,1.0,7.0,56149.0,1761785526974.595
126.0,0.0,0.0,55487.0,1761785526975.0825
29.0,0.0,1.0,55322.0,1761785526975.4697
29.0,0.0,2.0,55466.0,1761785526975.8286
29.0,0.0,3.0,55901.0,1761785526976.1677
29.0,0.0,4.0,55088.0,1761785526976.4956
28.0,0.0,5.0,56155.0,1761785526976.8179
29.0,0.0,6.0,56008.0,1761785526977.172
29.0,0.0,7.0,56154.0,1761785526977.524
126.0,1.0,0.0,55469.0,1761785526977.859
29.0,1.0,1.0,55325.0,1761785526978.1772
29.0,1.0,2.0,55471.0,1761785526978.488
29.0,1.0,3.0,55896.0,1761785526978.8115
28.0,1.0,4.0,55088.0,1761785526979.131
29.0,1.0,5.0,56154.0,1761785526979.4539
29.0,1.0,6.0,56008.0,1761785526979.9172
29.0,1.0,7.0,56149.0,1761785526980.5242
126.0,0.0,0.0,55471.0,1761785526980.9705
29.0,0.0,1.0,55312.0,1761785526981.4148
29.0,0.0,2.0,55460.0,1761785526981.9104
29.0,0.0,3.0,55904.0,1761785526982.329
28.0,0.0,4.0,55092.0,1761785526982.887
29.0,0.0,5.0,56159.0,1761785526983.3323
29.0,0.0,6.0,56016.0,1761785526983.7937
29.0,0.0,7.0,56160.0,1761785526984.1763
126.0,1.0,0.0,55482.0,1761785526984.532
29.0,1.0,1.0,55318.0,1761785526984.9182
29.0,1.0,2.0,55470.0,1761785526985.3296
29.0,1.0,3.0,55901.0,1761785526985.7087
28.0,1.0,4.0,55090.0,1761785526986.0642
29.0,1.0,5.0,56156.0,1761785526986.425
29.0,1.0,6.0,56010.0,1761785526986.8076
29.0,1.0,7.0,56155.0,1761785526987.2087
126.0,0.0,0.0,55473.0,1761785526987.5906
29.0,0.0,1.0,55327.0,1761785526987.9526
29.0,0.0,2.0,55478.0,1761785526988.2966
29.0,0.0,3.0,55910.0,1761785526988.6274
28.0,0.0,4.0,55093.0,1761785526988.9531
29.0,0.0,5.0,56160.0,1761785526989.3022
29.0,0.0,6.0,56017.0,1761785526989.718
29.0,0.0,7.0,56153.0,1761785526990.055
126.0,1.0,0.0,55482.0,1761785526990.4329
29.0,1.0,1.0,55310.0,1761785526990.8906
29.0,1.0,2.0,55460.0,1761785526991.2576
29.0,1.0,3.0,55898.0,1761785526991.6204
28.0,1.0,4.0,55088.0,1761785526992.0356
29.0,1.0,5.0,56158.0,1761785526992.5044
29.0,1.0,6.0,56003.0,1761785526993.0364
29.0,1.0,7.0,56151.0,1761785526993.5518
126.0,0.0,0.0,55471.0,1761785526993.9956
29.0,0.0,1.0,55334.0,1761785526994.4468
29.0,0.0,2.0,55466.0,1761785526994.8428
29.0,0.0,3.0,55892.0,1761785526995.213
28.0,0.0,4.0,55074.0,1761785526995.6155
29.0,0.0,5.0,56143.0,1761785526995.9788
29.0,0.0,6.0,56005.0,1761785526996.3237
29.0,0.0,7.0,56153.0,1761785526996.6853
126.0,1.0,0.0,55477.0,1761785526997.0808
29.0,1.0,1.0,55316.0,1761785526997.601
29.0,1.0,2.0,55469.0,1761785526998.064
29.0,1.0,3.0,55900.0,1761785526998.5496
28.0,1.0,4.0,55088.0,1761785526999.0034
29.0,1.0,5.0,56156.0,1761785526999.3877
29.0,1.0,6.0,56001.0,1761785526999.8125
29.0,1.0,7.0,56149.0,1761785527000.2666
126.0,0.0,0.0,55465.0,1761785527000.6697
29.0,0.0,1.0,55317.0,1761785527001.0828
29.0,0.0,2.0,55465.0,1761785527001.4817
29.0,0.0,3.0,55888.0,1761785527001.9343
28.0,0.0,4.0,55082.0,1761785527002.3293
29.0,0.0,5.0,56145.0,1761785527002.7795
29.0,0.0,6.0,55998.0,1761785527003.197
29.0,0.0,7.0,56143.0,1761785527003.5762
126.0,1.0,0.0,55480.0,1761785527003.9417
29.0,1.0,1.0,55316.0,1761785527004.2908
29.0,1.0,2.0,55459.0,1761785527004.7542
