c1normal,c2normal,c3normal,c4normal,c1shear,c2shear,c3shear,c4shear,timestamp
112587.000,112635.000,112231.000,112231.000,-529.000,-345.000,-63.000,532.000,1761203749.383
112599.000,112666.000,112205.000,112202.000,-524.000,-332.000,-70.000,533.000,1761203749.385
112589.000,112644.000,112198.000,112213.000,-500.000,-358.000,-86.000,534.000,1761203749.386
112605.000,112629.000,112227.000,112223.000,-517.000,-345.000,-76.000,540.000,1761203749.388
112591.000,112651.000,112219.000,112164.000,-487.000,-331.000,-68.000,546.000,1761203749.389
112589.000,112617.000,112179.000,112197.000,-505.000,-328.000,-69.000,534.000,1761203749.391
112582.000,112646.000,112176.000,112200.000,-512.000,-336.000,-68.000,529.000,1761203749.392
112562.000,112605.000,112188.000,112167.000,-498.000,-349.000,-71.000,523.000,1761203749.394
112583.000,112644.000,112218.000,112190.000,-499.000,-321.000,-71.000,521.000,1761203749.395
112565.000,112610.000,112199.000,112197.000,-494.000,-346.000,-64.000,527.000,1761203749.397
112590.000,112649.000,112219.000,112213.000,-517.000,-340.000,-82.000,557.000,1761203749.398
112569.000,112606.000,112201.000,112205.000,-510.000,-352.000,-75.000,547.000,1761203749.400
112571.000,112623.000,112190.000,112218.000,-501.000,-328.000,-64.000,527.000,1761203749.402
112590.000,112624.000,112182.000,112192.000,-507.000,-354.000,-49.000,545.000,1761203749.403
112561.000,112644.000,112208.000,112215.000,-504.000,-348.000,-80.000,528.000,1761203749.405
112571.000,112629.000,112209.000,112179.000,-502.000,-325.000,-86.000,523.000,1761203749.407
112577.000,112629.000,112182.000,112180.000,-517.000,-340.000,-70.000,517.000,1761203749.410
112562.000,112612.000,112185.000,112177.000,-503.000,-345.000,-71.000,531.000,1761203749.411
112570.000,112619.000,112177.000,112195.000,-503.000,-337.000,-75.000,548.000,1761203749.413
112591.000,112602.000,112188.000,112176.000,-512.000,-343.000,-81.000,536.000,1761203749.414
112568.000,112628.000,112205.000,112209.000,-517.000,-322.000,-74.000,535.000,1761203749.416
112575.000,112629.000,112186.000,112189.000,-509.000,-342.000,-82.000,534.000,1761203749.417
112575.000,112663.000,112225.000,112180.000,-520.000,-340.000,-73.000,540.000,1761203749.419
112573.000,112649.000,112206.000,112198.000,-518.000,-327.000,-65.000,548.000,1761203749.420
112568.000,112618.000,112217.000,112216.000,-507.000,-313.000,-79.000,529.000,1761203749.421
112592.000,112630.000,112238.000,112208.000,-510.000,-357.000,-57.000,521.000,1761203749.423
112587.000,112657.000,112198.000,112173.000,-505.000,-331.000,-82.000,531.000,1761203749.426
112610.000,112640.000,112190.000,112184.000,-517.000,-323.000,-89.000,530.000,1761203749.428
112587.000,112672.000,112195.000,112203.000,-515.000,-334.000,-79.000,539.000,1761203749.429
112579.000,112624.000,112231.000,112230.000,-528.000,-326.000,-61.000,538.000,1761203749.431
112611.000,112644.000,112195.000,112198.000,-493.000,-350.000,-72.000,529.000,1761203749.433
112634.000,112641.000,112235.000,112214.000,-498.000,-329.000,-73.000,522.000,1761203749.434
112611.000,112640.000,112186.000,112181.000,-506.000,-334.000,-93.000,548.000,1761203749.436
112585.000,112619.000,112182.000,112202.000,-509.000,-337.000,-86.000,528.000,1761203749.438
112598.000,112648.000,112189.000,112173.000,-486.000,-322.000,-96.000,548.000,1761203749.440
